"image_path","source","license_basis","attribution_required","publish_status","attribution_text","notes"
"set-images/75325/75325_26567.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75325/75325_alt1.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75325/75325_alt2.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75325/75325_alt3.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75325/75325_alt4.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75325/75325_alt5.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75325/75325_alt6.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75325/box.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75333/75333_alt1.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75333/75333_alt2.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75333/75333_alt3.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75333/75333_alt4.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75333/75333_alt5.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75333/75333_alt6.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75333/75333_alt7.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75333/75333_alt8.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75333/box.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75337/75337_alt1.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75337/75337_alt10.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75337/75337_alt2.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75337/75337_alt3.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75337/75337_alt4.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75337/75337_alt5.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75337/75337_alt6.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75337/75337_alt7.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75337/75337_alt8.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75337/75337_alt9.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75337/box.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75345/75345_alt1.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75345/75345_alt2.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75345/75345_alt3.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75345/75345_alt4.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75345/75345_alt5.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75345/75345_alt6.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75345/75345_alt7.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75345/box.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75347/75347_alt1.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75347/75347_alt2.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
"set-images/75347/75347_alt3.jpg","pending_review","temporary_non_commercial","yes","temporary_non_commercial","Source attribution required before any commercial use",""
